subor,nastroj,cas_vykonania,pocet_chyb,vystup
./__init__.py,pylint,2025-03-13T14:04:22.291270,5,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)

--------------------------------------------------------------------
Your code has been rated at 10.00/10 (previous run: 10.00/10, +0.00)"
./__init__.py,pyflakes,2025-03-13T14:04:24.062483,0,
./__init__.py,flake8,2025-03-13T14:04:24.170217,0,
./__init__.py,mypy,2025-03-13T14:04:24.363141,1,Success: no issues found in 1 source file
./config.py,pylint,2025-03-13T14:04:24.906417,25,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)
************* Module streamrip.config
config.py:27:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:42:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:59:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:77:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:86:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:96:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:104:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:119:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:135:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:153:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:166:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:184:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:203:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:212:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:222:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:240:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
config.py:340:9: E1131: unsupported operand type(s) for | (unsupported-binary-operation)
config.py:340:9: E1131: unsupported operand type(s) for | (unsupported-binary-operation)
config.py:340:9: E1131: unsupported operand type(s) for | (unsupported-binary-operation)

------------------------------------------------------------------
Your code has been rated at 5.99/10 (previous run: 5.99/10, +0.00)"
./config.py,pyflakes,2025-03-13T14:04:27.589540,0,
./config.py,flake8,2025-03-13T14:04:27.728618,0,
./config.py,mypy,2025-03-13T14:04:28.019243,84,"config.py:27: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:27: note: Possible overload variants:
config.py:27: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:27: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:27: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:42: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:42: note: Possible overload variants:
config.py:42: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:42: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:42: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:59: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:59: note: Possible overload variants:
config.py:59: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:59: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:59: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:77: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:77: note: Possible overload variants:
config.py:77: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:77: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:77: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:86: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:86: note: Possible overload variants:
config.py:86: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:86: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:86: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:96: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:96: note: Possible overload variants:
config.py:96: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:96: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:96: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:104: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:104: note: Possible overload variants:
config.py:104: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:104: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:104: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:119: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:119: note: Possible overload variants:
config.py:119: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:119: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:119: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:135: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:135: note: Possible overload variants:
config.py:135: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:135: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:135: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:153: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:153: note: Possible overload variants:
config.py:153: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:153: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:153: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:166: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:166: note: Possible overload variants:
config.py:166: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:166: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:166: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:184: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:184: note: Possible overload variants:
config.py:184: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:184: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:184: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:203: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:203: note: Possible overload variants:
config.py:203: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:203: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:203: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:212: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:212: note: Possible overload variants:
config.py:212: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:212: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:212: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:222: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:222: note: Possible overload variants:
config.py:222: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:222: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:222: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:240: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
config.py:240: note: Possible overload variants:
config.py:240: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
config.py:240: note:     def [_T] dataclass(type[_T], /) -> type[_T]
config.py:240: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
config.py:340: error: X | Y syntax for unions requires Python 3.10  [syntax]
config.py:350: error: Incompatible return value type (got ""object"", expected ""Union[QobuzConfig, DeezerConfig, SoundcloudConfig, TidalConfig]"")  [return-value]
config.py:432: error: Need type annotation for ""ret"" (hint: ""ret: set[<type>] = ..."")  [var-annotated]
Found 19 errors in 1 file (checked 1 source file)"
./console.py,pylint,2025-03-13T14:04:28.604728,7,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)
************* Module streamrip.console
console.py:1:0: E0401: Unable to import 'rich.console' (import-error)

------------------------------------------------------------------
Your code has been rated at 0.00/10 (previous run: 0.00/10, +0.00)"
./console.py,pyflakes,2025-03-13T14:04:29.131608,0,
