subor,nastroj,cas_vykonania,pocet_chyb,vystup
01.py,Pylint,0.5625388622283936,13,"************* Module 01
gemini/01.py:20:0: C0304: Final newline missing (missing-final-newline)
gemini/01.py:1:0: C0114: Missing module docstring (missing-module-docstring)
gemini/01.py:1:0: C0103: Module name ""01"" doesn't conform to snake_case naming style (invalid-name)
gemini/01.py:1:0: C0116: Missing function or method docstring (missing-function-docstring)
gemini/01.py:4:0: C0116: Missing function or method docstring (missing-function-docstring)
gemini/01.py:8:12: E1120: No value for argument 'c' in function call (no-value-for-parameter)
gemini/01.py:11:12: E1121: Too many positional arguments for function call (too-many-function-args)
gemini/01.py:20:0: C0103: Constant name ""x"" doesn't conform to UPPER_CASE naming style (invalid-name)

------------------------------------------------------------------
Your code has been rated at 0.00/10 (previous run: 5.00/10, -5.00)

"
01.py,Pyflakes,0.11401176452636719,0,
01.py,Flake8,0.18148422241210938,3,"gemini/01.py:4:1: E302 expected 2 blank lines, found 1
gemini/01.py:8:1: E305 expected 2 blank lines after class or function definition, found 1
gemini/01.py:20:7: W292 no newline at end of file
"
01.py,Mypy,0.24663257598876953,3,"gemini/01.py:8: error: Missing positional argument ""c"" in call to ""sucet""  [call-arg]
gemini/01.py:11: error: Too many arguments for ""vypocitaj_priemer""  [call-arg]
Found 2 errors in 1 file (checked 1 source file)
"
02.py,Pylint,0.5147407054901123,18,"************* Module 02
gemini/02.py:30:0: C0304: Final newline missing (missing-final-newline)
gemini/02.py:1:0: C0114: Missing module docstring (missing-module-docstring)
gemini/02.py:1:0: C0103: Module name ""02"" doesn't conform to snake_case naming style (invalid-name)
gemini/02.py:1:0: C0116: Missing function or method docstring (missing-function-docstring)
gemini/02.py:1:13: W0621: Redefining name 'cislo' from outer scope (line 25) (redefined-outer-name)
gemini/02.py:2:4: R1703: The if statement can be replaced with 'return bool(test)' (simplifiable-if-statement)
gemini/02.py:2:4: R1705: Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it (no-else-return)
gemini/02.py:7:0: C0116: Missing function or method docstring (missing-function-docstring)
gemini/02.py:7:22: W0621: Redefining name 'cislo' from outer scope (line 25) (redefined-outer-name)
gemini/02.py:9:8: R1703: The if statement can be replaced with 'return bool(test)' (simplifiable-if-statement)
gemini/02.py:9:8: R1705: Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it (no-else-return)
gemini/02.py:17:3: C0121: Comparison 'je_parne(4) == True' should be 'je_parne(4) is True' if checking for the singleton value True, or 'je_parne(4)' if testing for truthiness (singleton-comparison)
gemini/02.py:30:0: C0103: Constant name ""y"" doesn't conform to UPPER_CASE naming style (invalid-name)

------------------------------------------------------------------
Your code has been rated at 3.16/10 (previous run: 4.17/10, -1.01)

"
02.py,Pyflakes,0.0905916690826416,0,
02.py,Flake8,0.2051868438720703,4,"gemini/02.py:7:1: E302 expected 2 blank lines, found 1
gemini/02.py:17:1: E305 expected 2 blank lines after class or function definition, found 1
gemini/02.py:17:16: E712 comparison to True should be 'if cond is True:' or 'if cond:'
gemini/02.py:30:7: W292 no newline at end of file
"
02.py,Mypy,0.25600099563598633,1,"Success: no issues found in 1 source file
"
03.py,Pylint,0.5020084381103516,9,"************* Module 03
gemini/03.py:16:0: C0304: Final newline missing (missing-final-newline)
gemini/03.py:1:0: C0114: Missing module docstring (missing-module-docstring)
gemini/03.py:1:0: C0103: Module name ""03"" doesn't conform to snake_case naming style (invalid-name)
gemini/03.py:16:0: C0103: Constant name ""z"" doesn't conform to UPPER_CASE naming style (invalid-name)

------------------------------------------------------------------
Your code has been rated at 5.00/10 (previous run: 2.73/10, +2.27)

"
03.py,Pyflakes,0.08928632736206055,0,
03.py,Flake8,0.1809840202331543,1,"gemini/03.py:16:7: W292 no newline at end of file
"
03.py,Mypy,0.24980378150939941,1,"Success: no issues found in 1 source file
"
04.py,Pylint,0.5041539669036865,2,"************* Module 04
gemini/04.py:5:6: E0001: Parsing failed: 'invalid syntax (04, line 5)' (syntax-error)
"
04.py,Pyflakes,0.08747744560241699,3,"gemini/04.py:5:6: invalid syntax
if a = b:
     ^
"
04.py,Flake8,0.17837309837341309,1,"gemini/04.py:5:6: E999 SyntaxError: invalid syntax
"
04.py,Mypy,0.12599587440490723,2,"gemini/04.py:5: error: invalid syntax  [syntax]
Found 1 error in 1 file (errors prevented further checking)
"
