subor,nastroj,cas_vykonania,pocet_chyb,vystup
01.py,pylint,0.74,31,"************* Module 01
gpt/01.py:27:18: C0303: Trailing whitespace (trailing-whitespace)
gpt/01.py:28:0: C0303: Trailing whitespace (trailing-whitespace)
gpt/01.py:1:0: C0114: Missing module docstring (missing-module-docstring)
gpt/01.py:1:0: C0103: Module name ""01"" doesn't conform to snake_case naming style (invalid-name)
gpt/01.py:3:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/01.py:6:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/01.py:9:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/01.py:12:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/01.py:15:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/01.py:19:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/01.py:22:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/01.py:25:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/01.py:27:4: E1120: No value for argument 'age' in function call (no-value-for-parameter)
gpt/01.py:30:4: E1121: Too many positional arguments for function call (too-many-function-args)
gpt/01.py:33:13: E1120: No value for argument 'b' in function call (no-value-for-parameter)
gpt/01.py:36:14: E1120: No value for argument 'c' in function call (no-value-for-parameter)
gpt/01.py:39:4: E1120: No value for argument 'operation' in function call (no-value-for-parameter)
gpt/01.py:42:4: E1120: No value for argument 'c' in function call (no-value-for-parameter)
gpt/01.py:45:13: E1121: Too many positional arguments for function call (too-many-function-args)
gpt/01.py:48:12: E1120: No value for argument 'c' in function call (no-value-for-parameter)
gpt/01.py:48:12: E1120: No value for argument 'd' in function call (no-value-for-parameter)
gpt/01.py:51:4: W0104: Statement seems to have no effect (pointless-statement)
gpt/01.py:54:4: E1121: Too many positional arguments for function call (too-many-function-args)
gpt/01.py:33:4: W0612: Unused variable 'result' (unused-variable)
gpt/01.py:36:4: W0612: Unused variable 'product' (unused-variable)
gpt/01.py:48:4: W0612: Unused variable 'total' (unused-variable)

------------------------------------------------------------------
Your code has been rated at 0.00/10 (previous run: 4.00/10, -4.00)

"
01.py,pyflakes,0.11,3,"gpt/01.py:36:5: local variable 'product' is assigned to but never used
gpt/01.py:45:5: local variable 'result' is assigned to but never used
gpt/01.py:48:5: local variable 'total' is assigned to but never used
"
01.py,flake8,0.21,13,"gpt/01.py:6:1: E302 expected 2 blank lines, found 1
gpt/01.py:9:1: E302 expected 2 blank lines, found 1
gpt/01.py:12:1: E302 expected 2 blank lines, found 1
gpt/01.py:15:1: E302 expected 2 blank lines, found 1
gpt/01.py:19:1: E302 expected 2 blank lines, found 1
gpt/01.py:22:1: E302 expected 2 blank lines, found 1
gpt/01.py:25:1: E302 expected 2 blank lines, found 1
gpt/01.py:27:19: W291 trailing whitespace
gpt/01.py:28:1: W293 blank line contains whitespace
gpt/01.py:36:5: F841 local variable 'product' is assigned to but never used
gpt/01.py:45:5: F841 local variable 'result' is assigned to but never used
gpt/01.py:48:5: F841 local variable 'total' is assigned to but never used
gpt/01.py:56:1: E305 expected 2 blank lines after class or function definition, found 1
"
01.py,mypy,1.22,1,"Success: no issues found in 1 source file
"
02.py,pylint,0.52,18,"************* Module 02
gpt/02.py:18:0: C0325: Unnecessary parens after 'not' keyword (superfluous-parens)
gpt/02.py:1:0: C0114: Missing module docstring (missing-module-docstring)
gpt/02.py:1:0: C0103: Module name ""02"" doesn't conform to snake_case naming style (invalid-name)
gpt/02.py:3:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/02.py:5:7: C0121: Comparison 'a == True' should be 'a is True' if checking for the singleton value True, or 'a' if testing for truthiness (singleton-comparison)
gpt/02.py:18:12: C0121: Comparison 'a == False' should be 'a is False' if checking for the singleton value False, or 'not a' if testing for falsiness (singleton-comparison)
gpt/02.py:22:7: R1727: Boolean condition 'a or True' will always evaluate to 'True' (condition-evals-to-constant)
gpt/02.py:26:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/02.py:32:7: R1726: Boolean condition ""y and True or False"" may be simplified to ""y"" (simplifiable-condition)
gpt/02.py:43:7: R1714: Consider merging these comparisons with 'in' by using 'y in (5,)'. Use a set instead if elements are hashable. (consider-using-in)
gpt/02.py:47:4: R1703: The if statement can be replaced with 'return bool(test)' (simplifiable-if-statement)
gpt/02.py:47:4: R1705: Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it (no-else-return)
gpt/02.py:53:0: C0116: Missing function or method docstring (missing-function-docstring)

------------------------------------------------------------------
Your code has been rated at 5.81/10 (previous run: 7.69/10, -1.89)

"
02.py,pyflakes,0.1,0,
02.py,flake8,0.2,3,"gpt/02.py:5:10: E712 comparison to True should be 'if cond is True:' or 'if cond:'
gpt/02.py:18:15: E712 comparison to False should be 'if cond is False:' or 'if not cond:'
gpt/02.py:58:1: E305 expected 2 blank lines after class or function definition, found 1
"
02.py,mypy,0.28,1,"Success: no issues found in 1 source file
"
03.py,pylint,0.53,10,"************* Module 03
gpt/03.py:1:0: C0114: Missing module docstring (missing-module-docstring)
gpt/03.py:1:0: C0103: Module name ""03"" doesn't conform to snake_case naming style (invalid-name)
gpt/03.py:3:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/03.py:25:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/03.py:46:0: C0116: Missing function or method docstring (missing-function-docstring)

------------------------------------------------------------------
Your code has been rated at 7.92/10 (previous run: 8.64/10, -0.72)

"
03.py,pyflakes,0.1,0,
03.py,flake8,0.2,0,
03.py,mypy,0.3,1,"Success: no issues found in 1 source file
"
04.py,pylint,0.51,2,"************* Module 04
gpt/04.py:8:10: E0001: Parsing failed: 'invalid syntax (04, line 8)' (syntax-error)
"
04.py,pyflakes,0.12,3,"gpt/04.py:8:10: invalid syntax
    if a = b:
         ^
"
04.py,flake8,0.2,1,"gpt/04.py:8:10: E999 SyntaxError: invalid syntax
"
04.py,mypy,0.15,2,"gpt/04.py:8: error: invalid syntax  [syntax]
Found 1 error in 1 file (errors prevented further checking)
"
05.py,pylint,0.64,17,"************* Module 05
gpt/05.py:1:0: C0114: Missing module docstring (missing-module-docstring)
gpt/05.py:1:0: C0103: Module name ""05"" doesn't conform to snake_case naming style (invalid-name)
gpt/05.py:3:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/05.py:6:15: W1514: Using open without explicitly specifying an encoding (unspecified-encoding)
gpt/05.py:6:15: R1732: Consider using 'with' for resource-allocating operations (consider-using-with)
gpt/05.py:16:15: W1514: Using open without explicitly specifying an encoding (unspecified-encoding)
gpt/05.py:16:15: R1732: Consider using 'with' for resource-allocating operations (consider-using-with)
gpt/05.py:24:11: W1514: Using open without explicitly specifying an encoding (unspecified-encoding)
gpt/05.py:35:4: C0415: Import outside toplevel (csv) (import-outside-toplevel)
gpt/05.py:37:13: W1514: Using open without explicitly specifying an encoding (unspecified-encoding)
gpt/05.py:24:11: R1732: Consider using 'with' for resource-allocating operations (consider-using-with)
gpt/05.py:45:0: C0116: Missing function or method docstring (missing-function-docstring)

------------------------------------------------------------------
Your code has been rated at 6.36/10 (previous run: 7.63/10, -1.27)

"
05.py,pyflakes,0.11,0,
05.py,flake8,0.21,0,
05.py,mypy,0.3,1,"Success: no issues found in 1 source file
"
06.py,pylint,0.57,11,"************* Module 06
gpt/06.py:1:0: C0114: Missing module docstring (missing-module-docstring)
gpt/06.py:1:0: C0103: Module name ""06"" doesn't conform to snake_case naming style (invalid-name)
gpt/06.py:3:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/06.py:42:17: C3001: Lambda expression assigned to a variable. Define a function using the ""def"" keyword instead. (unnecessary-lambda-assignment)
gpt/06.py:9:8: W0612: Unused variable 'result' (unused-variable)
gpt/06.py:51:0: C0116: Missing function or method docstring (missing-function-docstring)

------------------------------------------------------------------
Your code has been rated at 8.33/10 (previous run: 7.27/10, +1.06)

"
06.py,pyflakes,0.11,1,"gpt/06.py:48:5: local variable 'result' is assigned to but never used
"
06.py,flake8,0.2,2,"gpt/06.py:42:9: E731 do not assign a lambda expression, use a def
gpt/06.py:48:5: F841 local variable 'result' is assigned to but never used
"
06.py,mypy,0.26,1,"Success: no issues found in 1 source file
"
07.py,pylint,0.52,11,"************* Module 07
gpt/07.py:1:0: C0114: Missing module docstring (missing-module-docstring)
gpt/07.py:1:0: C0103: Module name ""07"" doesn't conform to snake_case naming style (invalid-name)
gpt/07.py:3:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/07.py:6:8: W0612: Unused variable 'i' (unused-variable)
gpt/07.py:22:8: W0612: Unused variable 'value' (unused-variable)
gpt/07.py:44:0: C0116: Missing function or method docstring (missing-function-docstring)

------------------------------------------------------------------
Your code has been rated at 8.12/10 (previous run: 8.24/10, -0.11)

"
07.py,pyflakes,0.1,1,"gpt/07.py:22:9: local variable 'value' is assigned to but never used
"
07.py,flake8,0.19,1,"gpt/07.py:22:9: F841 local variable 'value' is assigned to but never used
"
07.py,mypy,0.27,1,"Success: no issues found in 1 source file
"
08.py,pylint,0.54,14,"************* Module 08
gpt/08.py:1:0: C0114: Missing module docstring (missing-module-docstring)
gpt/08.py:1:0: C0103: Module name ""08"" doesn't conform to snake_case naming style (invalid-name)
gpt/08.py:3:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/08.py:7:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/08.py:9:4: R1705: Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it (no-else-return)
gpt/08.py:14:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/08.py:18:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/08.py:21:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt/08.py:27:0: C0116: Missing function or method docstring (missing-function-docstring)

------------------------------------------------------------------
Your code has been rated at 7.27/10 (previous run: 7.57/10, -0.29)

"
08.py,pyflakes,0.1,0,
08.py,flake8,0.2,6,"gpt/08.py:7:1: E302 expected 2 blank lines, found 1
gpt/08.py:14:1: E302 expected 2 blank lines, found 1
gpt/08.py:18:1: E302 expected 2 blank lines, found 1
gpt/08.py:21:1: E302 expected 2 blank lines, found 1
gpt/08.py:27:1: E302 expected 2 blank lines, found 1
gpt/08.py:52:1: E305 expected 2 blank lines after class or function definition, found 1
"
08.py,mypy,0.26,1,"Success: no issues found in 1 source file
"
