subor,nastroj,cas_vykonania,pocet_chyb,vystup
01.py,pylint,0.57,26,"************* Module 01
gpt_true/01.py:37:22: C0303: Trailing whitespace (trailing-whitespace)
gpt_true/01.py:38:21: C0303: Trailing whitespace (trailing-whitespace)
gpt_true/01.py:39:0: C0303: Trailing whitespace (trailing-whitespace)
gpt_true/01.py:40:23: C0303: Trailing whitespace (trailing-whitespace)
gpt_true/01.py:43:31: C0303: Trailing whitespace (trailing-whitespace)
gpt_true/01.py:46:34: C0303: Trailing whitespace (trailing-whitespace)
gpt_true/01.py:48:39: C0303: Trailing whitespace (trailing-whitespace)
gpt_true/01.py:51:28: C0303: Trailing whitespace (trailing-whitespace)
gpt_true/01.py:54:34: C0303: Trailing whitespace (trailing-whitespace)
gpt_true/01.py:57:22: C0303: Trailing whitespace (trailing-whitespace)
gpt_true/01.py:59:26: C0303: Trailing whitespace (trailing-whitespace)
gpt_true/01.py:1:0: C0114: Missing module docstring (missing-module-docstring)
gpt_true/01.py:1:0: C0103: Module name ""01"" doesn't conform to snake_case naming style (invalid-name)
gpt_true/01.py:3:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt_true/01.py:7:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt_true/01.py:11:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt_true/01.py:15:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt_true/01.py:19:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt_true/01.py:27:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt_true/01.py:31:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt_true/01.py:35:0: C0116: Missing function or method docstring (missing-function-docstring)

------------------------------------------------------------------
Your code has been rated at 4.00/10 (previous run: 0.00/10, +4.00)

"
01.py,pyflakes,0.13,0,
01.py,flake8,0.21,19,"gpt_true/01.py:7:1: E302 expected 2 blank lines, found 1
gpt_true/01.py:11:1: E302 expected 2 blank lines, found 1
gpt_true/01.py:15:1: E302 expected 2 blank lines, found 1
gpt_true/01.py:19:1: E302 expected 2 blank lines, found 1
gpt_true/01.py:27:1: E302 expected 2 blank lines, found 1
gpt_true/01.py:31:1: E302 expected 2 blank lines, found 1
gpt_true/01.py:35:1: E302 expected 2 blank lines, found 1
gpt_true/01.py:37:23: W291 trailing whitespace
gpt_true/01.py:38:22: W291 trailing whitespace
gpt_true/01.py:39:1: W293 blank line contains whitespace
gpt_true/01.py:40:24: W291 trailing whitespace
gpt_true/01.py:43:32: W291 trailing whitespace
gpt_true/01.py:46:35: W291 trailing whitespace
gpt_true/01.py:48:40: W291 trailing whitespace
gpt_true/01.py:51:29: W291 trailing whitespace
gpt_true/01.py:54:35: W291 trailing whitespace
gpt_true/01.py:57:23: W291 trailing whitespace
gpt_true/01.py:59:27: W291 trailing whitespace
gpt_true/01.py:61:1: E305 expected 2 blank lines after class or function definition, found 1
"
01.py,mypy,0.27,1,"Success: no issues found in 1 source file
"
02.py,pylint,0.53,11,"************* Module 02
gpt_true/02.py:1:0: C0114: Missing module docstring (missing-module-docstring)
gpt_true/02.py:1:0: C0103: Module name ""02"" doesn't conform to snake_case naming style (invalid-name)
gpt_true/02.py:3:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt_true/02.py:21:4: W0106: Expression ""print('Táto podmienka je vždy True') if a else None"" is assigned to nothing (expression-not-assigned)
gpt_true/02.py:24:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt_true/02.py:47:0: C0116: Missing function or method docstring (missing-function-docstring)

------------------------------------------------------------------
Your code has been rated at 7.69/10 (previous run: 5.81/10, +1.89)

"
02.py,pyflakes,0.1,0,
02.py,flake8,0.2,1,"gpt_true/02.py:52:1: E305 expected 2 blank lines after class or function definition, found 1
"
02.py,mypy,0.26,1,"Success: no issues found in 1 source file
"
03.py,pylint,0.54,11,"************* Module 03
gpt_true/03.py:1:0: C0114: Missing module docstring (missing-module-docstring)
gpt_true/03.py:1:0: C0103: Module name ""03"" doesn't conform to snake_case naming style (invalid-name)
gpt_true/03.py:3:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt_true/03.py:28:4: C0200: Consider using enumerate instead of iterating with range and len (consider-using-enumerate)
gpt_true/03.py:39:0: C0116: Missing function or method docstring (missing-function-docstring)
gpt_true/03.py:71:0: C0116: Missing function or method docstring (missing-function-docstring)

------------------------------------------------------------------
Your code has been rated at 8.64/10 (previous run: 7.92/10, +0.72)

"
03.py,pyflakes,0.11,0,
